rainfall,temperature,humidity,soil_type,crop,soil_ph,nitrogen,phosphorus,potassium,yield_per_hectare,water_requirement,growing_season,market_price_per_kg,carbon_sequestration,biodiversity_impact,water_efficiency,soil_health_index,organic_potential
500,25,70,sandy,wheat,6.5,50,40,30,3.5,450,120,0.25,0.8,0.6,0.7,0.6,0.5
600,28,65,loamy,rice,6.0,60,50,40,4.2,750,150,0.30,0.7,0.5,0.5,0.7,0.4
400,22,60,clay,maize,5.8,55,45,35,3.8,500,110,0.20,0.9,0.7,0.8,0.5,0.6
550,26,68,sandy_loam,sugarcane,6.2,65,55,45,75.0,900,270,0.15,0.6,0.4,0.6,0.8,0.3
450,23,62,clay_loam,cotton,6.3,45,35,25,2.5,400,180,0.40,0.5,0.3,0.4,0.6,0.7
750,30,75,alluvial,banana,6.6,70,60,50,40.0,1200,365,0.35,0.4,0.2,0.3,0.7,0.8
350,20,55,red_soil,groundnut,5.5,40,30,20,1.8,350,120,0.45,0.9,0.8,0.9,0.5,0.9
650,27,80,black_soil,soybean,6.7,55,50,40,2.7,500,130,0.55,0.8,0.6,0.7,0.6,0.6
500,24,65,laterite,coffee,5.9,45,40,35,1.2,600,270,0.70,0.7,0.5,0.6,0.7,0.5
450,22,60,sandy_clay,millet,6.1,50,35,25,2.0,400,90,0.25,0.9,0.7,0.8,0.5,0.7
700,29,72,loamy_sand,sorghum,6.4,60,45,35,3.5,450,110,0.22,0.6,0.4,0.5,0.6,0.6
400,21,58,chalky,potato,6.8,55,50,40,25.0,550,120,0.30,0.5,0.3,0.4,0.7,0.5
550,26,68,peaty,tea,5.6,40,35,30,0.8,700,365,0.90,0.4,0.2,0.3,0.8,0.4
600,28,75,volcanic,pepper,6.5,65,55,45,2.5,500,240,1.20,0.7,0.5,0.6,0.6,0.5
500,25,62,silty_clay,pulses,6.0,45,40,30,1.5,400,100,0.35,0.8,0.6,0.7,0.5,0.8
